id,text,n_crop,n_disease,n_medicine
1-1,生理性/n_new 缺钙/n_disease 。/wj 平衡/a 肥水/n 供应/vn ，花/v 前/f 硼/n 花/n 后/f 钙/n 喷雾/n_new 调理/v 。/wj ,[],['缺钙'],[]
1-2,高温灼伤/n_disease ，建议/v 喷施/n_new 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 阿泰灵/nr 等/udeng ，提高抗逆性/n_new 。/wj ,[],['高温灼伤'],['微生物菌剂']
1-3,脐腐病/n_disease ，缺钙/n_disease 引起/v ，叶面喷施/n_new 螯合钙/n_medicine 。/wj ,[],"['脐腐病', '缺钙']",['螯合钙']
2-1,建议/v 喷施/n_new 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 阿泰灵/nr 等/udeng ，提高抗逆性/n_new 、/wn 防/v 落花/n 落果/v 。/wj ,[],[],['微生物菌剂']
2-2,喷施/n_new 氨基酸/n_medicine 二氢/n 钾/n 硼/n 肥/a 钙肥/n ,[],[],['氨基酸']
3-1,有/vyou 灰霉病/n_disease 和/cc 炭疽病/n_disease ，用/v 啶酰菌胺/n_medicine 和/cc 苯甲溴菌腈/n_medicine 喷雾/n_new 防治/vn 。/wj ,[],"['灰霉病', '炭疽病']","['啶酰菌胺', '苯甲溴菌腈']"
3-2,你好/n_new ，注意/v 炭疽病/n_disease ，防治/v 可用/a ，  42·8%氟菌/n_disease 肟菌酯/n_medicine 1500倍/q 液/ng   10%苯醚甲环唑/n_medicine 1500倍/q 液/ng   25%吡唑醚菌酯/n_medicine 1500倍/q 液/ng   75%肟菌戊唑醇/n_medicine 4000//w 6000倍/q 液/ng   45%咪鲜胺/n_medicine 750//w 1000倍/q 液/ng   22·5%啶氧菌酯/n_medicine ，也/d 可以/n_new 用/v 咪鲜胺/n_medicine 丙森锌/n_medicine ，咪鲜胺/n_medicine 异菌脲/n_medicine ，吡唑醚菌酯/n_medicine 。/wj 结合/v 二氢/n 钾/n 或者/c 氨基酸叶面肥/n_medicine 交替用药/n_new ,[],"['炭疽病', '氟菌']","['肟菌酯', '苯醚甲环唑', '吡唑醚菌酯', '肟菌戊唑醇', '咪鲜胺', '啶氧菌酯', '咪鲜胺', '丙森锌', '咪鲜胺', '异菌脲', '吡唑醚菌酯', '氨基酸叶面肥']"
3-3,疫病危害/n_disease 使用/v 银法利/nrf 或/c 克露/n_medicine 或/c 增威/nr 赢/v 绿/a 防治/vn ,[],['疫病危害'],['克露']
4-1,是/vshi 炭疽病/n_disease 危害/vn ，建议/v 在/p 发病初期/n_disease 使用/v 甲基硫菌灵/n_medicine 加/v 苯咪甲环唑/n_medicine 或/d 戊唑醇/n_medicine 或/c 咪鲜胺锰盐/n_medicine 喷雾/n_new 防治/vn 。/wj ,[],"['炭疽病', '发病初期']","['甲基硫菌灵', '苯咪甲环唑', '戊唑醇', '咪鲜胺锰盐']"
4-2,你好/n_new ，注意/v 炭疽病/n_disease ，防治/v 可用/a ，  42·8%氟菌/n_disease 肟菌酯/n_medicine 1500倍/q 液/ng   10%苯醚甲环唑/n_medicine 1500倍/q 液/ng   25%吡唑醚菌酯/n_medicine 1500倍/q 液/ng   75%肟菌戊唑醇/n_medicine 4000//w 6000倍/q 液/ng   45%咪鲜胺/n_medicine 750//w 1000倍/q 液/ng   22·5%啶氧菌酯/n_medicine ，也/d 可以/n_new 用/v 咪鲜胺/n_medicine 丙森锌/n_medicine ，咪鲜胺/n_medicine 异菌脲/n_medicine ，吡唑醚菌酯/n_medicine 。/wj 结合/v 二氢/n 钾/n 或者/c 氨基酸叶面肥/n_medicine 交替用药/n_new ,[],"['炭疽病', '氟菌']","['肟菌酯', '苯醚甲环唑', '吡唑醚菌酯', '肟菌戊唑醇', '咪鲜胺', '啶氧菌酯', '咪鲜胺', '丙森锌', '咪鲜胺', '异菌脲', '吡唑醚菌酯', '氨基酸叶面肥']"
4-3,炭疽病/n_disease 危害/vn 建议使用/n_new 肟菌戊唑醇/n_medicine 或/c 氟硅唑/n_medicine 或/c 苯甲丙环唑/n_medicine 防治/vn ,[],['炭疽病'],"['肟菌戊唑醇', '氟硅唑', '苯甲丙环唑']"
5-1,药害/n_new ，叶面喷施/n_new 氨基酸/n_medicine 十芸苔素/n_medicine 或/c 碧护/n_medicine 缓解/n_new 。/wj ,[],[],"['氨基酸', '十芸苔素', '碧护']"
5-2,温度/n_new 不适/a ，用药不当/n_disease ，叶面喷施/n_new 碧护/n_medicine 或/c 芸苔素内酯/n_medicine 缓解/n_new 。/wj ,[],['用药不当'],"['碧护', '芸苔素内酯']"
5-3,药害/n_new ，用芸/nr2 苔/ng 素/n ＋/w 磷酸二氢钾/n_medicine 复配/n_new 喷洒/v 缓解/n_new ,[],[],['磷酸二氢钾']
6-1,土壤环境/n_new 差/a 根系发育不良/n_disease 冲施/n_new 腐/vg 殖/w 酸/a 枯草芽孢杆菌/n_disease ,[],"['根系发育不良', '枯草芽孢杆菌']",[]
6-2,肥害/n_disease 或/c 药害/n_new 等/udeng 外力/n 损伤造成/n_new 的/ude1 ，不/d 是/vshi 病菌/n 性病/n 害/n 。/wj 可/v 选用/v 益/dg 沛/ag 蔬/ng 复合/n_new 微生物菌剂/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['肥害'],['微生物菌剂']
