id,n_crop,n_disease,n_medicine
1-1,[],"['病毒病', '用药不当']","['碧护', '芸苔素内酯']"
1-2,[],"['病毒病', '钝化病毒病']","['氨基寡糖素', '盐酸吗啉胍', '宁南霉素', '松脂酸铜', '烯啶吡蚜酮']"
2-1,[],['施药不当'],['微生物菌剂']
2-2,[],['用药不当'],"['碧护', '芸苔素内酯', '氨基酸叶面肥', '黄腐酸', '叶面肥', '磷酸二氢钾']"
3-1,[],['霜霉病'],"['烯酰吗啉', '锰锌', '吡唑醚菌酯', '锰锌', '烯酰', '锰锌', '氰霜唑']"
3-2,[],"['霜霉病', '发病初期']","['杀毒矾', '克露', '霜灵', '普力克', '甲霜灵']"
4-1,[],[],['哒螨灵']
4-2,[],[],[]
5-1,[],['地下害虫'],"['阿维菌素', '噻唑膦']"
5-2,[],['地下虫害'],"['敌百虫', '辛硫磷']"
6-1,[],['蓟马'],"['螺虫乙酯', '噻虫嗪', '酰胺']"
6-2,[],['蓟马'],"['乐果', '敌敌畏', '辛硫磷', '乙基多杀菌素']"
7-1,[],"['氮肥过量', '缺硼']",[]
7-2,[],"['缺硼', '缺硼']",['速乐硼']
8-1,[],['炭疽病'],"['苯醚甲环唑', '吡唑醚菌酯', '阿砣', '啶氧菌酯', '戊唑醇', '百菌清']"
9-1,[],['用药不当'],['碧护']
9-2,[],[],['氨基酸二氢钾']
9-3,[],['施药不当'],['微生物菌剂']
10-1,[],"['根系发育不良', '枯草芽孢杆菌']",[]
10-2,[],['枯草芽孢杆菌'],"['腐植酸', '碧护', '磷酸二氢钾']"
10-3,[],"['根系发育不良', '枯草芽孢杆菌']",[]
11-1,[],['细菌性病害'],"['乙蒜素', '叶枯唑', '生菌素', '氯溴异氰尿酸', '春雷王铜', '春雷霉素', '可杀得', '春雷霉素', '喹啉铜']"
11-2,[],['细菌性病害'],"['叶枯唑', '噻菌铜']"
11-3,[],['细菌性病害'],"['乙蒜素', '叶枯唑', '生菌素', '氯溴异氰尿酸', '春雷王铜', '春雷霉素', '可杀得', '春雷霉素', '喹啉铜']"
12-1,[],['炭疽病'],"['咪鲜胺', '戊唑醇', '咪鲜胺']"
12-2,[],['炭疽病'],"['肟菌戊唑醇', '氟硅唑', '苯甲丙环唑']"
13-1,"['辣椒', '辣椒']",[],[]
13-2,[],[],[]
13-3,"['辣椒', '辣椒']",[],[]
14-1,[],['红蜘蛛'],"['哒螨灵', '哒螨灵', '螺螨酯', '乙螨唑', '四螨嗪', '联苯肼酯']"
14-2,[],['红蜘蛛'],"['阿维菌素', '哒螨灵', '螺螨酯', '联苯肼酯']"
14-3,[],['红蜘蛛'],"['哒螨灵', '哒螨灵', '螺螨酯', '乙螨唑', '四螨嗪', '联苯肼酯']"
15-1,[],[],['微生物菌剂']
15-2,[],[],['微生物菌剂']
16-1,[],"['根系发育不良', '枯草芽孢杆菌']","['腐植酸', '甲霜恶霉灵', '碧护', '磷酸二氢钾']"
16-2,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
16-3,[],"['根系发育不良', '枯草芽孢杆菌']","['腐植酸', '甲霜恶霉灵', '碧护', '磷酸二氢钾']"
17-1,[],"['炭疽病', '炭疽']","['咪鲜胺锰盐', '苯甲溴菌腈', '腐霉利', '溴菌腈', '啶氧菌酯', '吡唑醚菌酯']"
17-2,['辣椒'],['炭疽'],[]
17-3,[],"['炭疽病', '炭疽']","['咪鲜胺锰盐', '苯甲溴菌腈', '腐霉利', '溴菌腈', '啶氧菌酯', '吡唑醚菌酯']"
18-1,[],['疫病'],[]
18-3,[],['疫病'],[]
19-1,[],"['畸形果', '水肥不均', '缺乏硼']","['氮肥', '磷酸二氢钾', '速乐硼', '糖醇钙']"
19-2,['辣椒'],"['畸形果', '光照不足', '缺硼', '缺钙', '氮肥过多', '磷钾肥不足', '畸形果']","['。控制氮肥', '中量元素肥料', '腐植酸', '磷酸二氢钾']"
19-3,[],"['畸形果', '水肥不均', '缺乏硼']","['氮肥', '磷酸二氢钾', '速乐硼', '糖醇钙']"
20-1,[],[],"['碧护', '氨基酸']"
20-2,[],[],['微生物菌剂']
21-1,[],[],['微生物菌剂']
21-2,[],[],['氨基酸']
21-3,[],[],['微生物菌剂']
22-1,[],['枯草芽孢杆菌'],"['腐植酸', '速乐硼', '螯合钙', '磷酸二氢钾']"
22-2,[],"['缺硼', '枯草芽孢杆菌']","['腐植酸', '速乐硼', '螯合钙']"
22-3,[],['枯草芽孢杆菌'],"['腐植酸', '速乐硼', '螯合钙', '磷酸二氢钾']"
23-1,[],"['用药不当', '病毒病']","['氨基酸', '十芸苔素', '碧护', '宁南霉素', '氨基寡糖素', '盐酸吗啉胍']"
23-2,[],['施药不当'],['微生物菌剂']
23-3,[],"['用药不当', '病毒病']","['氨基酸', '十芸苔素', '碧护', '宁南霉素', '氨基寡糖素', '盐酸吗啉胍']"
24-1,[],[],"['碧护', '芸苔素内酯']"
24-2,[],"['病斑', '气害灼伤']","['碧护', '芸苔素内酯', '磷酸二氢钾', '氨基酸叶面肥', '黄腐酸', '叶面肥']"
25-1,[],['斜纹夜蛾'],"['虱螨脲', '茚虫威', '氯虫苯甲酰胺', '苏云金杆菌']"
25-2,[],[],"['氯虫苯甲酰胺', '虫酰肼', '氟虫双酰胺', '茚虫威', '酰胺']"
25-3,[],['斜纹夜蛾'],"['虱螨脲', '茚虫威', '氯虫苯甲酰胺', '苏云金杆菌']"
26-3,[],[],"['磷酸二氢钾', '磷酸二氢钾']"
27-1,['辣椒'],['裂果'],['磷酸二氢钾']
27-3,['辣椒'],['裂果'],['磷酸二氢钾']
28-1,[],['用药不当'],"['碧护', '芸苔素内酯']"
28-2,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
28-3,[],['用药不当'],"['碧护', '芸苔素内酯']"
29-1,[],[],"['碧护', '磷酸二氢钾']"
29-2,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
29-3,[],[],"['碧护', '磷酸二氢钾']"
30-1,[],[],['氨基酸二氢钾']
30-2,[],['用药不当'],"['氨基酸', '十芸苔素', '碧护']"
30-3,[],[],['氨基酸二氢钾']
31-1,[],"['病毒病', '钝化病毒病']","['氨基寡糖素', '盐酸吗啉胍', '宁南霉素', '松脂酸铜', '烯啶吡蚜酮']"
31-2,[],['病毒病'],[]
31-3,[],"['病毒病', '钝化病毒病']","['氨基寡糖素', '盐酸吗啉胍', '宁南霉素', '松脂酸铜', '烯啶吡蚜酮']"
32-1,[],['疫病'],['高效杀菌剂']
32-2,[],"['疫病', '病斑', '病斑', '病斑']","['叶缘', '代森锰锌', '杀毒矾', '霜霉威', '克露', '锰锌']"
32-3,[],['疫病'],['高效杀菌剂']
33-1,[],[],"['联苯菊酯', '烯啶虫胺', '噻虫嗪']"
33-2,[],[],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '高效氯氟氰菊酯', '螺虫乙酯']"
33-3,[],[],"['联苯菊酯', '烯啶虫胺', '噻虫嗪']"
34-1,[],['肥害'],['微生物菌剂']
34-2,[],['根系不好'],"['生根剂', '氨基酸叶面肥']"
34-3,[],['肥害'],['微生物菌剂']
35-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
35-2,[],['用药不当'],"['氨基酸', '十芸苔素', '碧护']"
35-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
36-1,['辣椒'],['疫病'],"['氰霜唑', '锰锌', '湿性粉剂']"
36-2,[],['疫病'],"['烯酰', '代森联', '代森联', '霜脲氰', '霜霉威', '烯酰', '嘧菌酯', '霜脲氰']"
36-3,['辣椒'],['疫病'],"['氰霜唑', '锰锌', '湿性粉剂']"
37-1,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
37-2,[],"['气害', '；病害表现', '灼伤受害']","['碧护', '磷酸二氢钾', '芸苔素内酯']"
37-3,[],[],"['碧护', '磷酸二氢钾', '氨基酸叶面肥']"
38-1,[],[],"['氯氟氰菊酯', '啶虫咪']"
38-2,[],['害虫'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '高效氯氟氰菊酯', '螺虫乙酯']"
38-3,[],['害虫'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '高效氯氟氰菊酯', '螺虫乙酯']"
39-1,[],"['缺素证', '枯草芽孢杆菌']",['氨基酸']
39-2,[],"['根系发育不良', '枯草芽孢杆菌']",[]
39-3,[],"['缺素证', '枯草芽孢杆菌']",['氨基酸']
40-1,[],[],"['高效氯氟氰菊酯', '噻虫嗪', '联苯菊酯', '联苯菊酯', '噻虫嗪', '联苯菊酯']"
40-2,[],[],"['联苯菊酯', '烯啶虫胺', '噻虫嗪']"
40-3,[],[],"['高效氯氟氰菊酯', '噻虫嗪', '联苯菊酯', '联苯菊酯', '噻虫嗪', '联苯菊酯']"
41-1,[],['蚜虫'],"['烯啶虫胺', '联苯菊酯', '噻虫嗪', '乙基多杀菌素']"
