id,n_crop,n_disease,n_medicine
1-1,[],"['果腐病', '发病初期']",['钾肥']
1-2,[],"['果腐病', '发病初期']",['钾肥']
2-1,[],"['果腐病', '发病初期']",['钾肥']
2-2,[],"['果腐病', '发病初期']",['钾肥']
3-1,[],"['果腐病', '发病初期']",['钾肥']
3-2,[],"['果腐病', '发病初期']",['钾肥']
4-1,[],"['果腐病', '发病初期']",['钾肥']
4-2,[],"['果腐病', '发病初期']",['钾肥']
5-1,[],"['果腐病', '发病初期']",['钾肥']
5-2,[],"['果腐病', '发病初期']",['钾肥']
6-1,[],"['果腐病', '发病初期']",['钾肥']
6-2,[],"['果腐病', '发病初期']",['钾肥']
7-1,[],"['果腐病', '发病初期']",['钾肥']
7-2,[],"['果腐病', '发病初期']",['钾肥']
8-1,[],"['果腐病', '发病初期']",['钾肥']
8-2,[],"['果腐病', '发病初期']",['钾肥']
9-1,[],"['果腐病', '发病初期']",['钾肥']
9-2,[],"['果腐病', '发病初期']",['钾肥']
10-1,[],"['果腐病', '发病初期']",['钾肥']
10-2,['辣椒'],"['果腐病', '发病初期']",['钾肥']
11-1,[],"['果腐病', '发病初期']",['钾肥']
11-2,[],"['果腐病', '发病初期']",['钾肥']
12-1,[],"['果腐病', '发病初期']",['钾肥']
12-2,[],"['果腐病', '发病初期']",['钾肥']
13-1,[],"['果腐病', '发病初期']",['钾肥']
13-2,[],"['果腐病', '发病初期']",['钾肥']
14-1,[],"['果腐病', '发病初期']",['钾肥']
14-2,[],"['果腐病', '发病初期']",['钾肥']
15-1,[],"['果腐病', '发病初期']",['钾肥']
15-2,[],"['果腐病', '发病初期']",['钾肥']
16-1,[],"['果腐病', '发病初期']",['钾肥']
16-2,[],"['果腐病', '发病初期']",['钾肥']
17-1,[],"['果腐病', '发病初期']",['钾肥']
18-1,[],"['果腐病', '发病初期']",['钾肥']
18-2,[],"['果腐病', '发病初期']",['钾肥']
18-3,[],"['果腐病', '发病初期']",['钾肥']
19-1,[],"['果腐病', '发病初期']",['钾肥']
19-2,[],"['果腐病', '发病初期']",['钾肥']
19-3,[],"['果腐病', '发病初期']",['钾肥']
20-1,[],"['果腐病', '发病初期']",['钾肥']
20-2,[],"['果腐病', '发病初期']",['钾肥']
20-3,[],"['果腐病', '发病初期']",['钾肥']
21-1,[],"['果腐病', '发病初期']",['钾肥']
21-2,[],"['果腐病', '发病初期']",['钾肥']
21-3,[],"['果腐病', '发病初期']",['钾肥']
22-1,[],"['果腐病', '发病初期']",['钾肥']
22-2,[],"['果腐病', '发病初期']",['钾肥']
22-3,[],"['果腐病', '发病初期']",['钾肥']
23-1,[],"['果腐病', '发病初期']",['钾肥']
23-2,[],"['果腐病', '发病初期']",['钾肥']
23-3,[],"['果腐病', '发病初期']",['钾肥']
24-1,[],"['果腐病', '发病初期']",['钾肥']
24-2,[],"['果腐病', '发病初期']",['钾肥']
24-3,[],"['果腐病', '发病初期']",['钾肥']
25-2,[],"['果腐病', '发病初期']",['钾肥']
26-1,[],"['果腐病', '发病初期']",['钾肥']
26-2,[],"['果腐病', '发病初期']",['钾肥']
26-3,[],"['果腐病', '发病初期']",['钾肥']
27-1,[],"['果腐病', '发病初期']",['钾肥']
27-2,[],"['果腐病', '发病初期']",['钾肥']
28-1,[],"['果腐病', '发病初期']",['钾肥']
28-3,[],"['果腐病', '发病初期']",['钾肥']
29-1,[],"['果腐病', '发病初期']",['钾肥']
29-2,['辣椒'],"['果腐病', '发病初期']",['钾肥']
29-3,['辣椒'],"['果腐病', '发病初期']",['钾肥']
30-1,[],"['果腐病', '发病初期']",['钾肥']
30-2,[],"['果腐病', '发病初期']",['钾肥']
30-3,[],"['果腐病', '发病初期']",['钾肥']
31-1,[],"['果腐病', '发病初期']",['钾肥']
31-2,[],"['果腐病', '发病初期']",['钾肥']
31-3,[],"['果腐病', '发病初期']",['钾肥']
32-1,[],"['果腐病', '发病初期']",['钾肥']
32-2,[],"['果腐病', '发病初期']",['钾肥']
32-3,[],"['果腐病', '发病初期']",['钾肥']
33-1,[],"['果腐病', '发病初期']",['钾肥']
33-2,[],"['果腐病', '发病初期']",['钾肥']
33-3,[],"['果腐病', '发病初期']",['钾肥']
34-1,[],"['果腐病', '发病初期']",['钾肥']
34-2,[],"['果腐病', '发病初期']",['钾肥']
34-3,[],"['果腐病', '发病初期']",['钾肥']
35-1,[],"['果腐病', '发病初期']",['钾肥']
35-2,[],"['果腐病', '发病初期']",['钾肥']
35-3,[],"['果腐病', '发病初期']",['钾肥']
36-1,[],"['果腐病', '发病初期']",['钾肥']
36-2,[],"['果腐病', '发病初期']",['钾肥']
36-3,[],"['果腐病', '发病初期']",['钾肥']
