id,text,n_corp,n_disease,n_medicine
1-1,加强肥水供应，使用黄腐酸钾上喷下灌养根护叶进行调理。,[],[],[]
1-2,主要是根系发育不良吸收能力差造成生长缓慢。建议冲施益沛蔬复合微生物菌剂或甲壳素等促根壮苗。,[],['根系发育不良'],"['微生物菌剂', '甲壳素']"
2-1,着色，考虑温度，光照，用肥问题，或者土壤水分含量过低，等因素导致，建议合理增加光合作用，避免夜温过高，避免偏重钾肥，合理疏果，促进果子膨大，着色。,[],[],['钾肥']
2-2,病毒病用氨基寡糖素阿泰灵宁南霉素,[],['病毒病'],"['氨基寡糖素', '宁南霉素']"
3-1,多考虑天气变化。温度不适，根系吸收不良，或者用药，导致生理性症状，可用生物菌肥灌根养根，叶面芸苔素内酯喷雾缓解,[],[],"['生物菌肥', '芸苔素内酯']"
3-2,用药不当导致的喷施碧护缓解,[],['用药不当'],['碧护']
4-1,药害，可选用益沛蔬复合微生物菌剂或阿泰灵等喷施缓解。,[],[],['微生物菌剂']
4-2,你好考虑日灼，防治因为高温干旱，缺少遮阳引起，可用糖醇钙，硫酸铜，螯合钙喷雾缓解改善。,[],[],"['糖醇钙', '，硫酸铜', '，螯合钙']"
5-1,细菌性果腐病，主要以预防为主。发病初期，可以用噻唑锌，中生菌素，春雷霉素，叶枯唑，氯溴异氰尿酸，松脂酸铜，噻菌铜等交替使用喷雾防治。,[],['细菌性初期'],"['噻唑锌', '生菌素', '，春雷霉素', '，叶枯唑', '，氯溴异氰尿酸', '，松脂酸铜', '，噻菌铜']"
5-2,细菌性果腐病，可用春雷喹啉铜，叶枯唑，乙蒜素，嘧霉胺，苯甲中生，精甲王铜，噻菌铜，春雷霉素，喹啉铜防治,[],['细菌性'],"['啉铜', '，叶枯唑', '，乙蒜素', '，嘧霉胺铜', '，噻菌铜', '，春雷霉素', '，喹啉铜']"
6-1,你好，考虑根腐病，控水比较好，可用精甲霜灵咯菌腈，枯草芽孢杆菌复配甲霜恶霉灵五百倍液灌根，连用二到三次，间隔五到七天，也可用络氨铜，硫酸铜钙。,[],"['根腐病', '枯草芽孢杆菌']","['霜灵', '咯菌腈', '甲霜恶霉灵', '络氨铜', '，硫酸']"
6-2,土壤问题。根腐病、茎基腐病，多年化肥用多了，土壤有机质少，板结,[],"['根腐病', '茎基腐病']",[]
7-1,疫病，用烯酰吗啉，腈菌锰锌，霉多克，抑快净，吡唑醚菌酯，氟吗锰锌，烯酰锰锌，氰霜唑喷雾防治。,[],['疫病'],"['烯酰吗啉菌锌霉', '，吡唑醚菌酯锌', '，烯锌', '，氰霜唑']"
7-2,疫病，72·2％普力克 AS600 倍 77％可杀得 WP1000 倍 20％噻森铜 SC500 倍灌根中心周边植株或 5％科佳 1500 倍，66·8％霉多克 WP600 倍或 50％安克 WP2000 倍 50％施得益 WP500－600 倍百泰 EC1000 倍，52·5％抑快净 WG2000－3000 倍，40％疫霜灵 WP400 倍或 72％克露 WP1000 倍 25％凯润 EC2000 倍，64％杀毒矾 WP600 倍或 86·2％铜大师 WP2000 倍或 80％疫霜灵 WP700 倍，68％金雷多米尔 WP1000 倍,[],['疫病'],['得％霉多灵2％克露％杀毒矾灵']
8-1,土壤盐渍化，叶缘吐水排盐积累中毒。建议冲施益沛蔬复合微生物菌剂（液化淀粉芽孢杆菌、纳豆芽孢杆菌、地衣芽孢杆菌），改良盐渍化、保护根系、防治盐害。,[],"['土壤盐渍化孢杆菌孢杆菌', '地衣芽孢杆菌']","['，叶缘', '微生物菌剂芽芽']"
8-2,根系不好，缺镁，用腐植酸和枯草芽孢杆菌灌墩，叶面喷施碧护和螯合镁。,[],"['根系不好', '枯草芽孢杆菌']","['腐植酸', '碧护']"
9-1,土壤环境差根系发育不良冲施腐殖酸枯草芽孢杆菌,[],"['根系发育不良', '枯草芽孢杆菌']",[]
9-2,根系不好，冲施枯草芽孢杆菌养根系生根，叶面喷施氨基酸加碧护缓解下，7 到 10 天喷施一次,[],"['根系不好', '枯草芽孢杆菌']","['氨基酸', '碧护']"
10-1,土壤环境差根系发育不良冲施腐殖酸枯草芽孢杆菌,[],"['根系发育不良', '枯草芽孢杆菌']",[]
